wilaya_id,wilaya,pop_0_4_ans,pop_5_9_ans,pop_10_14_ans,pop_15_19_ans,pop_20_24_ans,pop_25_29_ans,pop_30_34_ans,pop_35_39_ans,pop_40_44_ans,pop_45_49_ans,pop_50_54_ans,pop_55_59_ans,pop_60_64_ans,pop_65_69_ans,pop_70_74_ans,pop_75_79_ans,pop_80_84_ans,pop_sup_84_ans,pop_nd,masculin,feminin,rural_2008,urbain_2008,acl,as,epars,habitant_par_km2_1998,pop_total,taux_accroissement_urbain,taux_accroissement_rural,taux_accroissement_total,retraite,pensionne,specialite_homme,specialite_femme,generaliste_homme,generaliste_femme,chir_dentiste_homme,chir_dentiste_femme,pharmacien_homme,pharmacien_femme,structure_hospitalisation,salle_consultation_et_soins,centre_sante,polyclinique,lits_techniques_2006,lits_organises_2006,tracho_me,kyste_hydatique,geole_rou_geole,lose_brucel_lose,hepatite_virale_a,hepatite_virale_b,hepatite_virale_c,coque_luche,dysen_terie,typh-oide,leishmaniose_cutanee,menin_gite
1,ADRAR,47853.94794,43604.17006,45558.73708,47761.00471,46997.36342,39739.1275,24704.37392,21745.78801,19604.9275,17432.23156,11445.28053,9393.254366,6916.110287,6457.489739,4110.440177,3469.225177,1571.147378,1279.468187,69.75921964,203836.3422,195877.5045,253856,145858,200834,169416,29463,0.7,399713.8468,6.96,0.69,2.570509207,5595.412054,1514.478842,23,16,78,58,17,15,1,2,3,114,27,6,587,650,3,0,59,7,1,85,11,0,161,16,2,23
2,CHLEF,99479.06821,86435.77046,99844.36111,117865.2322,123945.726,104558.9642,78304.80207,62422.72551,53108.61141,43222.0908,36698.255,29521.29426,18257.44237,15911.53181,14015.67398,9658.499802,4524.988111,2907.263332,1405.574607,502469.909,499617.9663,503567,498521,521070,267276,213742,179.1,1002087.875,3.52,-0.01,1.586636777,30376.12144,10167.69585,33,18,127,97,14,50,0,2,6,60,72,16,866,904,0,13,13,1,16,6,3,0,4,3,6,60
3,LAGHOUAT,54707.88632,49268.41397,49013.76574,50202.78644,47906.17408,43555.13561,33528.08208,29715.29456,24071.97249,20054.70524,15021.65741,11286.95239,6717.313379,7417.204,5497.67163,3723.278478,1954.542752,1528.119671,696.565582,232657.6061,223209.9158,141353,314248,371204,22196,62202,12.7,455867.5218,6.31,-0.27,3.768627502,10180.64676,4251.039976,34,15,71,58,14,18,0,0,4,41,23,6,613,556,0,4,3,185,0,0,0,0,7,55,292,7
4,OUM EL BOUAGHI,64170.61506,52110.80382,62099.34408,71744.37465,72270.2848,61742.7233,46627.44867,37405.4257,34680.57228,32461.65536,25504.83965,18938.60411,11226.7314,10493.78232,8335.229604,6157.933488,3209.688187,1926.464391,504.9863744,314084.2888,307527.2184,166892,454720,467997,40548,113066,76.5,621611.5072,2.78,-0.35,1.852670806,18378.71852,6933.901688,39,47,90,107,19,43,1,4,6,80,21,13,971,910,0,24,3,228,24,24,69,0,0,15,4,50
5,BATNA,113327.3222,98755.67713,115804.9654,132083.3818,129136.1359,107337.7257,84384.77341,68764.22777,61129.70903,54153.03851,42862.99318,33388.21241,20877.72479,18970.03212,15704.4975,11586.37122,6562.659585,4274.686933,526.0326165,565240.5826,554389.5847,434792,684999,768444,148134,203214,79,1119630.167,2.42,0.32,1.552103906,35081.37286,12928.8295,18,24,127,207,19,77,1,4,12,211,36,17,1.519,1.499,0,9,31,63,38,40,45,2,0,4,1015,77
6,BEJAIA,66375.70394,61481.32373,77249.71329,96463.49614,111193.426,100298.7536,80771.04472,66630.05266,55697.21175,43953.76556,38206.46647,33520.31255,20456.95575,18326.61822,15959.05339,12562.47404,7005.2894,4855.608329,1569.747672,465611.843,446965.1743,449810,462766,559981,240192,112404,262,912577.0173,3.27,-1.46,0.644486702,42919.14664,12328.62775,50,43,134,154,19,79,0,1,9,162,41,23,1.277,1.106,0,2,14,4,34,32,15,9,1,10,4,84
7,BISKRA,81183.92568,73111.96431,81455.6777,83825.49137,79684.29857,67684.47561,51446.01138,44750.48993,37797.03827,31816.6922,25413.81497,18052.32828,11551.69,10741.25031,9097.924811,7461.554512,3412.222516,2565.413207,303.9985531,365039.7032,356316.559,231965,489391,563245,59823,98289,27.4,721356.2622,3.98,-0.46,2.322920144,16536.16087,6571.013894,45,27,103,112,12,40,0,2,6,115,24,12,891,729,13,8,14,299,19,25,12,0,2,14,1181,68
8,BECHAR,29522.00241,23865.18147,25687.015,27993.96742,30316.51124,28254.45684,22323.67292,18410.61787,15424.87565,12751.6802,10659.74007,7470.998572,5139.73341,4275.541109,3259.063937,2414.661732,1296.560123,993.0930481,2,135435.7649,134625.6081,57923,212138,236213,28129,5719,1.4,270061.373,2.12,0.88,1.853098388,10303.2999,2587.343472,24,23,74,68,15,14,1,0,4,52,27,8,430,566,0,0,7,305,0,137,7,0,49,2,1000,21
9,BLIDA,103704.7544,83329.52101,91547.65133,101257.3955,104309.4297,98011.70616,82204.67966,75902.50818,65081.83559,49441.77604,42203.85194,32372.12542,23004.36098,18359.18343,13943.24287,9494.077318,4530.378959,2922.935182,1313.655962,509600.9347,493334.135,231231,771706,719515,200080,83343,498,1002935.07,3.1,0.82,2.538474452,37513.66282,7384.542592,49,73,179,194,54,136,0,0,4,70,28,12,645,602,0,16,6,3,10,9,3,0,0,5,17,91
10,BOUIRA,62381.08546,53233.00166,63450.16271,76583.57525,81852.55895,77741.73443,60962.97788,48354.46812,38295.6793,30969.74303,26851.51507,21039.777,14279.38545,12839.76588,10292.70095,7820.405375,4302.307293,3274.222422,1057.444854,353195.1224,342387.3887,410119,285463,372196,132954,190432,141.8,695582.5111,4.65,-0.87,1.021785111,25636.86329,6807.498983,33,46,93,91,20,50,0,1,7,104,23,10,1.106,1.009,0,12,10,31,78,46,6,0,0,22,35,76
11,TAMANRASSET,24941.58225,20974.37546,19973.78838,20109.13912,18373.33325,16545.83927,11508.60932,10649.59309,9009.608091,7559.215156,4587.187297,3778.707947,2536.51586,2330.078342,1298.608972,1052.647675,385.3101456,429.5884564,593.0993144,90820.40322,85816.42416,55407,121230,136822,21648,18167,0.2,176636.8274,2.8,2.01,2.610853829,2458.899254,493.841151,22,15,40,19,10,11,1,0,2,57,11,3,299,286,0,1,240,0,1,27,4,3,58,12,1,10
12,TEBESSA,62458.58408,57935.17157,69152.46391,76183.56869,74838.956,64247.39354,48139.30748,39831.83882,36618.18065,31402.5749,26091.9743,18400.33465,11215.87237,11401.32667,8904.50053,6440.545002,3197.739644,2099.094898,143.9187645,326086.0036,322617.3428,162079,486624,515786,25664,107254,38.6,648703.3465,2.96,-1.28,1.714396054,18262.02993,9634.835619,41,10,90,82,18,39,1,1,8,94,28,11,1.041,938,0,37,19,357,17,91,242,0,0,2,70,103
13,TLEMCEN,88909.16616,73852.15641,83333.31708,85876.0532,94897.75573,94318.76613,80453.22701,69834.88234,61501.37145,49372.20777,45707.90998,36688.07519,24160.14651,21123.35827,16393.40155,11474.62435,6329.991196,4712.287369,196.2771084,482363.9405,466771.0343,363789,585346,672490,208055,68589,92.9,949134.9748,1.75,0.37,1.227741258,41196.0415,19289.63619,34,38,233,155,64,89,2,7,5,250,14,15,702,691,0,4,19,54,30,18,10,5,79,100,0,101
14,TIARET,89089.65576,76179.69106,86893.19872,94499.5752,93550.37057,84765.98114,64745.75784,56388.81186,48073.52048,39219.69641,30943.99306,23110.88561,14887.94635,15305.82282,12221.26535,9067.813412,4342.399103,3245.654828,0,427207.3817,419324.6579,265610,581214,637991,60771,148061,35.1,846532.0396,2,0.68,1.580147789,25392.19161,7178.864867,16,12,91,104,21,49,0,0,8,95,22,13,1.246,1.084,0,17,6,98,2,21,8,0,0,6,54,9
15,TIZI OUZOU,75147.45739,69566.17764,86092.27191,110772.683,132868.3288,129155.4997,104778.3273,86175.79626,72902.15578,47826.01566,49288.80707,44546.99605,30199.27933,26404.3063,21315.23154,18270.57893,11253.39709,8664.25851,1938.390218,564757.1507,562408.8078,618502,509105,585775,444795,97037,310.7,1127165.958,2.75,-1.51,0.168450665,59919.26476,23535.52529,50,42,191,200,77,150,0,6,8,240,45,17,1.136,1.086,0,1,3,0,11,2,1,1,0,4,10,136
16, ALGER,284896.9842,225050.2165,238797.0813,257486.4785,275588.5071,282264.6664,260187.6947,250844.3217,223821.2553,165833.5412,135253.1157,110199.7615,77256.69773,66431.7796,54825.95934,38084.28369,18931.71611,13413.02801,7993.111321,1499317.908,1487842.291,170276,2817868,2712944,213853,61348,2153.3,2987160.2,1.98,-3.4,1.5756683,160994.9986,23061.79389,166,449,473,1.319,134,718,2,27,11,57,104,60,1.619,1.692,0,1,151,12,45,14,2,38,123,58,3,786
17,DJELFA,145778.4643,127683.3806,128224.7064,130010.6169,120711.5365,101820.0435,69937.41393,62305.53178,47417.72073,41813.53898,29026.00646,25550.6626,16109.35323,16126.12585,11292.63689,8067.990582,3687.884709,3345.766839,1668.398281,561332.0446,529245.7346,331265,760920,825411,48805,217968,12,1090577.779,4.42,1,3.239150575,15123.21689,6828.630919,38,24,90,91,18,26,0,1,4,77,26,8,957,819,0,26,0,1350,2,11,2,0,0,176,40,14
18,JIJEL,55311.04254,51767.87059,63828.04017,78331.317,77484.11679,64679.51461,49617.53975,40493.78297,35648.91416,26068.60157,22475.52434,20928.73344,14380.00454,11678.88854,9733.841284,7766.021501,3944.564662,2590.2985,219.8665779,320820.0502,316128.4334,247600,389349,391096,142595,103257,222.4,636948.4835,4.22,-2.38,1.080619868,21893.89357,6731.729774,34,26,90,93,25,58,2,3,3,90,21,7,892,890,0,3,7,0,9,79,35,0,13,12,24,92
